Frequency [Hz],Amplitude [dB]
772000,-41.29582324523545
773000,-41.37890441499572
774000,-41.4653034684124
775000,-41.4397278211022
776000,-41.49725486020577
777000,-41.6633218846887
778000,-41.57348565355558
779000,-41.696041107250096
780000,-41.68979023824068
781000,-41.73164886347887
782000,-41.731096396636545
783000,-41.72673763685125
784000,-41.808296149385406
785000,-41.897962021853495
786000,-41.94809281286362
787000,-42.03900995971719
788000,-42.081614754879254
789000,-42.225333932784615
790000,-42.199304272906616
791000,-42.25118760963798
792000,-42.22783070457114
793000,-42.30305556678384
794000,-42.402172150515796
795000,-42.502012808172694
796000,-42.50513698218683
797000,-42.65179980354175
798000,-42.74736020889453
799000,-42.74586339644872
800000,-42.33321947519708
801000,-42.35085972638114
802000,-42.263348973770086
803000,-42.450808804258
804000,-42.54513645418018
805000,-42.68784797904576
806000,-42.779576622592096
807000,-42.820067354364525
808000,-42.922296007609816
809000,-43.03836420264047
810000,-42.989857766842015
811000,-42.967535626578865
812000,-43.10551276624491
813000,-43.06610472667453
814000,-43.17586710724406
815000,-43.01742343996442
816000,-43.16211220232256
817000,-43.19594623640153
818000,-43.28188977927079
819000,-43.30285363697034
820000,-43.535782645291924
821000,-43.433838584185565
822000,-43.59420184679906
823000,-43.521442059034314
824000,-43.44235785279971
825000,-43.493852176064365
826000,-43.55872127620461
827000,-43.734308366097025
828000,-43.85897804348218
829000,-43.75583737037095
830000,-43.91816118613836
831000,-44.08577433723157
832000,-44.032204186966
833000,-44.14844860728473
834000,-43.759068734212356
835000,-43.758115663567814
836000,-43.739516058745274
837000,-43.8868988485614
838000,-43.835286844124774
839000,-43.89467047486381
840000,-43.90393508454278
841000,-44.082307409566
842000,-44.19878313894325
843000,-44.141954141937404
844000,-44.24443220822891
845000,-44.343160342753066
846000,-44.44458000462366
847000,-44.48821610388237
848000,-44.42949699992903
849000,-44.506879901563295
850000,-44.579934528406426
851000,-44.525715531479555
852000,-44.59089981927103
853000,-44.77691564958097
854000,-44.659140525625396
855000,-44.853820976160186
856000,-44.924144321065945
857000,-44.969578301401526
858000,-44.95224804536217
859000,-45.02612058607733
860000,-44.974093531714175
861000,-44.983953185672156
862000,-45.120429638667815
863000,-45.17387115247107
864000,-45.352482723126734
865000,-45.21913927689743
866000,-45.353824421005534
867000,-45.42082643311032
868000,-45.35334037245438
869000,-45.49178788142131
870000,-45.37343552849162
871000,-45.31139686396278
872000,-45.427318948957506
873000,-45.481861872579735
874000,-45.547770239961785
875000,-45.5456239954739
876000,-45.53795968559088
877000,-45.53175566560086
878000,-45.760480833374885
879000,-45.784758124369795
880000,-45.918207138201865
881000,-46.05206249876583
882000,-45.831352010864364
883000,-45.96127254063686
884000,-46.17562753841598
885000,-46.1791582108556
886000,-46.18578685876003
887000,-46.26691955808465
