Frequency [Hz],Amplitude [dB]
904000,-17.83846046070846
905000,-17.942280771230067
906000,-17.91885894522531
907000,-17.98466082929136
908000,-18.058517913195118
909000,-18.087637386865
910000,-18.033914831242473
911000,-18.102853705801493
912000,-18.108842084006618
913000,-18.086894752498484
914000,-18.140034454342302
915000,-18.09755650829711
916000,-18.189780107961464
917000,-18.171561761942627
918000,-18.229359143492587
919000,-18.14909031550019
920000,-18.158642869925096
921000,-18.117238672750148
922000,-18.128307960408133
923000,-18.1687352316537
924000,-18.14448646527994
925000,-18.098851453491584
926000,-18.087167232613893
927000,-18.14056184661105
928000,-18.232484844991113
929000,-18.18658283496056
930000,-18.15172399906807
931000,-18.148959108516355
932000,-18.14901109300115
933000,-18.2112021265135
934000,-18.214608707336208
935000,-18.207425808281755
936000,-18.27536418152635
937000,-18.34713279485284
938000,-18.42809027741175
939000,-18.447362682197575
940000,-18.439951096553777
941000,-18.415299037020528
942000,-18.537560298844213
943000,-18.504201038225784
944000,-18.591449267712218
945000,-18.59568797744281
946000,-18.57441268933129
947000,-18.617955853710157
948000,-18.519741126159484
949000,-18.534461574788427
950000,-18.540364448202155
951000,-18.45561097929313
952000,-18.46147810965078
953000,-18.508387903239004
954000,-18.509752458297832
955000,-18.501950520187016
956000,-18.512317387185668
957000,-18.611455063375224
958000,-18.59914573503331
959000,-18.632325030623697
960000,-18.608696280234245
961000,-18.64187476332121
962000,-18.671039837429756
963000,-18.6815124202557
964000,-18.66856469493903
965000,-18.683653072180604
966000,-18.79183883112134
967000,-18.811629201210675
968000,-18.867038184089257
969000,-18.8729672565115
970000,-18.765584869085238
971000,-18.882953970020345
972000,-18.897523502752385
973000,-18.898720279104126
974000,-18.965693243364147
975000,-19.000178575035676
976000,-19.001203033012892
977000,-19.06962185356391
978000,-19.14410636877163
979000,-19.27219471066335
980000,-19.268410759442407
981000,-19.30222839276357
982000,-19.26419531379931
983000,-19.19908174365873
984000,-19.15634659596667
985000,-19.15179738501711
986000,-19.17723936463081
987000,-19.137040095070073
988000,-19.0945364176694
989000,-19.097562043176822
990000,-19.060105201454128
991000,-19.0879486479896
992000,-19.074521680355534
993000,-19.13295299944381
